ISO Date,moon_theta,moon_phi,sun_theta,sun_phi,eclipse
1935-06-30T19:59:46.000,98.6469,0.467817,98.974,0.00622027,1
1935-07-30T09:16:28.000,127.482,-1.62881,127.174,0.00533235,1
1935-12-25T17:59:52.000,273.327,-1.42783,273.916,-0.00960913,1
1936-06-19T05:20:31.000,89.3614,-0.100358,88.6129,0.00665773,1
1936-12-13T23:28:12.000,262.788,-0.552237,262.684,-0.00918294,1
1937-06-08T20:41:02.000,77.9291,-1.04857,78.468,0.00612264,1
1937-12-02T23:05:45.000,251.253,0.0473247,251.233,-0.00880637,1
1938-05-29T13:50:19.000,67.7461,-1.35017,68.3755,0.00685785,1
1938-11-21T23:52:25.000,240.003,0.656861,239.868,-0.00822122,1
1939-04-19T16:45:53.000,28.8132,0.532757,29.5715,0.00360807,1
1939-10-12T20:40:23.000,199.407,-1.6823,199.45,-0.00519831,1
1940-04-07T20:21:21.000,18.046,-0.261004,18.6877,0.00191945,1
1940-10-01T12:44:06.000,189.044,-1.08741,189.003,-0.00390438,1
1941-03-27T20:08:08.000,6.84927,-0.852821,7.57966,0.000596879,1
1941-09-21T04:34:03.000,179.491,0.10072,178.611,-0.00135347,1
1942-03-16T23:37:07.000,356.241,-1.70005,356.555,-0.00150725,1
1942-08-12T02:45:12.000,140.42,-1.91189,139.57,0.00301137,1
1942-09-10T15:39:32.000,167.651,0.356522,168.089,-0.00109247,1
1943-02-04T23:38:10.000,316.07,0.402999,316.087,-0.00569496,1
1943-08-01T04:16:13.000,129.683,-1.1816,128.843,0.00407764,1
1944-01-25T15:26:42.000,304.553,-0.418553,305.329,-0.00698749,1
1944-07-20T05:43:13.000,118.905,-0.461936,118.142,0.00487991,1
1945-01-14T05:01:43.000,294.985,-1.20139,294.453,-0.00824535,1
1945-07-09T13:27:46.000,107.322,0.272416,107.709,0.00553143,1
1946-01-03T12:16:11.000,282.938,-1.98033,283.291,-0.00891066,1
1946-05-30T21:00:24.000,69.154,-1.88928,69.5687,0.00474219,1
1946-06-29T03:51:58.000,98.1301,0.736072,97.5522,0.00505082,1
1946-11-23T17:37:12.000,241.177,0.307932,241.578,-0.00813463,1
1947-05-20T13:47:47.000,58.9214,-0.713804,59.4371,0.00525082,1
1947-11-12T20:05:37.000,230.055,-0.23652,230.323,-0.00719763,1
1948-05-09T02:26:04.000,49.3365,-0.482024,49.0913,0.0033304,1
1948-11-01T05:59:18.000,220.289,-0.813085,219.443,-0.00584019,1
1949-04-28T07:48:53.000,38.6046,0.449748,38.3988,0.00290862,1
1949-10-21T21:13:01.000,208.648,-1.67905,208.838,-0.00527636,1
1950-03-18T15:32:01.000,357.469,-1.27004,358.162,-0.000754472,1
1950-09-12T03:38:47.000,170.456,0.471674,169.499,-0.000145704,1
1951-03-07T20:53:40.000,346.563,-0.629883,347.154,-0.00184672,1
1951-09-01T12:51:51.000,158.913,-0.477065,158.945,0.000414925,1
1952-02-25T09:11:35.000,336.421,-0.418072,336.381,-0.00440797,1
1952-08-20T15:13:35.000,147.786,-1.25238,148.171,0.000835098,1
1953-02-14T00:59:30.000,325.677,0.536176,325.696,-0.00422528,1
1953-07-11T02:44:14.000,109.894,0.653869,109.146,0.00365511,1
1953-08-09T15:55:03.000,136.852,-1.93205,137.385,0.00182625,1
1954-01-05T02:32:01.000,285.41,-1.37092,284.861,-0.00685354,1
1954-06-30T12:32:38.000,98.6578,0.225411,98.8006,0.00482077,1
1954-12-25T07:36:42.000,274.142,-0.988787,273.603,-0.00780433,1
1955-06-20T04:10:42.000,89.3716,-0.893516,88.6921,0.00405195,1
1955-12-14T07:02:25.000,262.689,-0.28522,262.118,-0.00757148,1
1956-06-08T21:20:39.000,78.1219,-1.74792,78.6194,0.00362329,1
1956-12-02T08:00:35.000,251.216,0.305801,250.729,-0.00733843,1
1957-04-30T00:05:28.000,39.9691,0.126521,39.976,0.001898,1
1957-10-23T04:54:02.000,211.119,-1.38791,210.107,-0.0042282,1
1958-04-19T03:27:17.000,29.481,-0.584142,29.1529,0.000770564,1
1958-10-12T20:55:28.000,199.517,-1.01252,199.593,-0.00379205,1
1959-04-08T03:24:08.000,18.3581,-1.23448,18.1215,-0.000186661,1
1959-10-02T12:27:00.000,189.138,-0.362153,189.12,-0.00297779,1
1960-03-27T07:25:07.000,7.36492,-1.9165,7.19136,-0.00109765,1
1960-09-20T22:59:56.000,178.648,0.502603,178.508,-0.00193475,1
1961-02-15T08:19:48.000,327.289,-0.0459968,326.968,-0.00455471,1
1961-08-11T10:46:47.000,139.36,-1.1922,139.052,0.00174455,1
1962-02-05T00:12:38.000,316.261,-0.291508,316.244,-0.00436086,1
1962-07-31T12:25:33.000,128.274,-0.553564,128.334,0.00239375,1
1963-01-25T13:37:12.000,304.767,-1.20308,305.379,-0.00540265,1
