location,moon_phase,time
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.839737246349839,2000-02-04 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",3.0340934608447636,2000-02-05 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",3.046652119875336,2000-02-06 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.8462238143877014,2000-02-07 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.6413454429585412,2000-02-08 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.4329268019898,2000-02-09 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.2209650083678985,2000-02-10 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.0053187914978174,2000-02-11 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.7857911667010817,2000-02-12 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.5622093444179204,2000-02-13 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.3345356242840574,2000-02-14 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.1030068785522211,2000-02-15 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.8682830065023016,2000-02-16 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.6315717630000641,2000-02-17 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.39476280311634904,2000-02-18 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.1616971522967662,2000-02-19 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.08667802313285965,2000-02-20 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.30682076872321273,2000-02-21 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.5269952596944614,2000-02-22 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.7409170085543034,2000-02-23 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.9481685759070985,2000-02-24 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.1492494443671892,2000-02-25 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.3451603761735933,2000-02-26 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.5372057762980922,2000-02-27 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.7268418040015159,2000-02-28 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.9155523100851661,2000-02-29 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.1047476927170106,2000-03-01 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.2956758208734356,2000-03-02 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.4893178426129556,2000-03-03 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.6861788769679027,2000-03-04 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.8853588699259776,2000-03-05 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",3.0674495124599424,2000-03-06 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.961144515447238,2000-03-07 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.751430241491373,2000-03-08 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.5340144999858003,2000-03-09 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.312707177548396,2000-03-10 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.0886418999110705,2000-03-11 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.8624936596616408,2000-03-12 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.634763402076369,2000-03-13 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.405891052320258,2000-03-14 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.1763625860273461,2000-03-15 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.9468288365608029,2000-03-16 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.7182358104504931,2000-03-17 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.4920549334439007,2000-03-18 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.27149985011539923,2000-03-19 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.08452297187521893,2000-03-20 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.1925874976360834,2000-03-21 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.39619319995691904,2000-03-22 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.599832562987873,2000-03-23 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.7994540016313133,2000-03-24 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.9949104282731357,2000-03-25 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.1869296148945434,2000-03-26 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.3766386379742723,2000-03-27 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.5653785869061314,2000-03-28 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.7545828012361697,2000-03-29 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.9456733970490425,2000-03-30 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.139955144160251,2000-03-31 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.3384804669180754,2000-04-01 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.5418197733848564,2000-04-02 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.749414230454519,2000-04-03 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.9551631043324145,2000-04-04 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",3.039858829425135,2000-04-05 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.8458585171660173,2000-04-06 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.620939782958459,2000-04-07 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.3907627320949247,2000-04-08 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",2.1590047972001165,2000-04-09 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.9274150694964989,2000-04-10 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.6970985002781585,2000-04-11 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.4687676041522473,2000-04-12 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.2428879748812898,2000-04-13 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.0198215744598333,2000-04-14 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.7999759080175253,2000-04-15 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.5840104687629423,2000-04-16 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.3734751811377083,2000-04-17 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.17571826448003464,2000-04-18 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.10241811453838542,2000-04-19 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.2708025476564995,2000-04-20 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.4632088296259682,2000-04-21 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.6557034411740719,2000-04-22 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",0.8463980976356331,2000-04-23 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.0355593957176326,2000-04-24 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.2240819720291938,2000-04-25 00:00:00
"(4461340.48313723, 919588.07009129, 4449530.22143979) m",1.4131609720120237,2000-04-26 00:00:00
